Dark Gray   Hex=#a9a9a9,172,172,168
Color,R,G,B
Dark Gray   Hex=#a9a9a9,173,171,164
Color,R,G,B
Dark Gray   Hex=#a9a9a9,173,171,165
Color,R,G,B
Dark Gray   Hex=#a9a9a9,173,174,167
Color,R,G,B
Dark Gray   Hex=#a9a9a9,173,174,169
Color,R,G,B
Dark Gray   Hex=#a9a9a9,180,175,172
Color,R,G,B
Gray (X11 Gray)   Hex=#bebebe,191,190,185
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,200,198,196
Color,R,G,B
Lavender Gray   Hex=#c4c3d0,199,199,199
Color,R,G,B
Pastel Gray   Hex=#cfcfc4,204,205,205
Color,R,G,B
Licorice   Hex=#1a1110,23,20,21
Color,R,G,B
Licorice   Hex=#1a1110,32,26,23
Color,R,G,B
Licorice   Hex=#1a1110,21,20,16
Color,R,G,B
Licorice   Hex=#1a1110,18,15,16
Color,R,G,B
Licorice   Hex=#1a1110,25,23,25
Color,R,G,B
Dark Jungle Green   Hex=#1a2421,30,28,30
Color,R,G,B
Dark Jungle Green   Hex=#1a2421,31,28,31
Color,R,G,B
Licorice   Hex=#1a1110,23,20,23
Color,R,G,B
Dark Jungle Green   Hex=#1a2421,46,35,35
Color,R,G,B
Licorice   Hex=#1a1110,28,22,22
Color,R,G,B
Licorice   Hex=#1a1110,29,22,20
Color,R,G,B
Black Olive   Hex=#3b3c36,61,59,59
Color,R,G,B
Liver   Hex=#534b4f,79,76,77
Color,R,G,B
Liver   Hex=#534b4f,79,77,76
Color,R,G,B
Outer Space   Hex=#414a4c,75,74,63
Color,R,G,B
Rifle Green   Hex=#414833,72,71,60
Color,R,G,B
Rifle Green   Hex=#414833,69,68,61
Color,R,G,B
Rifle Green   Hex=#414833,67,65,59
Color,R,G,B
Rifle Green   Hex=#414833,66,67,62
Color,R,G,B
Black Olive   Hex=#3b3c36,62,61,54
Color,R,G,B
Bistre   Hex=#3d2b1f,49,45,37
Color,R,G,B
Bistre   Hex=#3d2b1f,48,44,36
Color,R,G,B
Bistre   Hex=#3d2b1f,47,43,35
Color,R,G,B
Bistre   Hex=#3d2b1f,44,41,32
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Outer Space   Hex=#414a4c,71,69,65
Color,R,G,B
Black Olive   Hex=#3b3c36,57,59,53
Color,R,G,B
Black Olive   Hex=#3b3c36,60,59,52
Color,R,G,B
Rifle Green   Hex=#414833,70,69,61
Color,R,G,B
Rifle Green   Hex=#414833,72,71,62
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Rifle Green   Hex=#414833,64,67,56
Color,R,G,B
Black Olive   Hex=#3b3c36,62,65,56
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Jet   Hex=#343434,53,53,46
Color,R,G,B
Licorice   Hex=#1a1110,18,16,16
Color,R,G,B
Smoky Black   Hex=#100c08,6,6,6
Color,R,G,B
Black   Hex=#000,5,6,6
Color,R,G,B
Smoky Black   Hex=#100c08,5,6,7
Color,R,G,B
Smoky Black   Hex=#100c08,7,7,7
Color,R,G,B
Red   Hex=#f00,255,0,0
Color,R,G,B
Smoky Black   Hex=#100c08,6,6,7
Color,R,G,B
